combined_aircraft_type,total_accidents,total_fatal,total_severe_damage,fatal_accident_rate_%,severe_damage_rate_%
AERO COMMANDER 100,34,6.0,6.0,17.647058823529413,17.647058823529413
AERO COMMANDER S2R,63,6.0,3.0,9.523809523809524,4.761904761904762
AERONCA 11AC,73,12.0,18.0,16.43835616438356,24.65753424657534
AERONCA 15AC,31,1.0,3.0,3.225806451612903,9.67741935483871
AERONCA 7AC,232,41.0,65.0,17.67241379310345,28.01724137931034
AERONCA 7BCM,31,5.0,8.0,16.129032258064516,25.806451612903224
AIR TRACTOR AT-301,136,15.0,14.0,11.029411764705882,10.294117647058822
AIR TRACTOR AT-401,68,4.0,7.0,5.88235294117647,10.294117647058822
AIR TRACTOR AT-502,58,9.0,8.0,15.517241379310345,13.793103448275861
AIR TRACTOR AT-502B,45,6.0,3.0,13.333333333333334,6.666666666666667
AIR TRACTOR AT-602,25,5.0,2.0,20.0,8.0
AIR TRACTOR AT301,30,2.0,4.0,6.666666666666667,13.333333333333334
AIR TRACTOR AT502,36,16.0,7.0,44.44444444444444,19.444444444444446
AIR TRACTOR INC AT-301,27,2.0,6.0,7.4074074074074066,22.22222222222222
AIR TRACTOR INC AT-502B,26,2.0,3.0,7.6923076923076925,11.538461538461538
AIR TRACTOR INC AT-602,26,7.0,6.0,26.923076923076923,23.076923076923077
AMERICAN AA-1,28,4.0,13.0,14.285714285714285,46.42857142857143
AVIAT A-1,28,5.0,6.0,17.857142857142858,21.428571428571427
AVIAT A-1B,34,4.0,4.0,11.76470588235294,11.76470588235294
AYRES S2R,55,14.0,6.0,25.454545454545453,10.909090909090908
AYRES S2R-T34,40,11.0,5.0,27.500000000000004,12.5
BEECH 1900C,33,65.0,8.0,196.96969696969697,24.242424242424242
BEECH 1900D,46,58.0,0.0,126.08695652173914,0.0
BEECH 200,75,124.0,8.0,165.33333333333334,10.666666666666668
BEECH 23,84,23.0,25.0,27.380952380952383,29.761904761904763
BEECH 35,124,43.0,49.0,34.67741935483871,39.516129032258064
BEECH 35-B33,28,18.0,14.0,64.28571428571429,50.0
BEECH 36,53,22.0,2.0,41.509433962264154,3.7735849056603774
BEECH 55,33,8.0,2.0,24.242424242424242,6.0606060606060606
BEECH 58,208,194.0,37.0,93.26923076923077,17.78846153846154
BEECH 58P,57,52.0,13.0,91.22807017543859,22.807017543859647
BEECH 76,60,22.0,13.0,36.666666666666664,21.666666666666668
BEECH 77,45,12.0,12.0,26.666666666666668,26.666666666666668
BEECH 95,32,30.0,6.0,93.75,18.75
BEECH 95-B55,94,98.0,11.0,104.25531914893618,11.702127659574469
BEECH 95-C55,32,18.0,10.0,56.25,31.25
BEECH A-36,43,44.0,14.0,102.32558139534885,32.55813953488372
BEECH A23,49,19.0,18.0,38.775510204081634,36.734693877551024
BEECH A23-24,28,9.0,6.0,32.142857142857146,21.428571428571427
BEECH A35,41,25.0,9.0,60.97560975609756,21.951219512195124
BEECH A36,366,279.0,89.0,76.22950819672131,24.316939890710383
BEECH A36TC,64,70.0,34.0,109.375,53.125
BEECH B19,45,5.0,2.0,11.11111111111111,4.444444444444445
BEECH B200,28,30.0,19.0,107.14285714285714,67.85714285714286
BEECH B23,28,11.0,8.0,39.285714285714285,28.57142857142857
BEECH B35,32,9.0,8.0,28.125,25.0
BEECH B36TC,48,34.0,12.0,70.83333333333334,25.0
BEECH BE-58,25,15.0,2.0,60.0,8.0
BEECH C23,153,65.0,30.0,42.48366013071895,19.607843137254903
BEECH C24R,50,24.0,10.0,48.0,20.0
BEECH C35,51,30.0,11.0,58.82352941176471,21.568627450980394
BEECH C90,48,50.0,9.0,104.16666666666667,18.75
BEECH D35,25,9.0,3.0,36.0,12.0
BEECH E18S,50,32.0,7.0,64.0,14.000000000000002
BEECH F33A,100,59.0,25.0,59.0,25.0
BEECH F35,27,20.0,1.0,74.07407407407408,3.7037037037037033
BEECH G35,45,26.0,5.0,57.77777777777777,11.11111111111111
BEECH H35,43,18.0,3.0,41.86046511627907,6.976744186046512
BEECH J35,30,21.0,11.0,70.0,36.666666666666664
BEECH K35,43,21.0,14.0,48.837209302325576,32.55813953488372
BEECH M35,29,14.0,6.0,48.275862068965516,20.689655172413794
BEECH N35,26,14.0,2.0,53.84615384615385,7.6923076923076925
BEECH P35,30,16.0,10.0,53.333333333333336,33.33333333333333
BEECH S35,56,53.0,9.0,94.64285714285714,16.071428571428573
BEECH V35,72,75.0,11.0,104.16666666666667,15.277777777777779
BEECH V35A,30,17.0,8.0,56.666666666666664,26.666666666666668
BEECH V35B,130,81.0,28.0,62.30769230769231,21.53846153846154
BELL 206,152,123.0,47.0,80.92105263157895,30.92105263157895
BELL 206B,428,206.0,141.0,48.13084112149533,32.94392523364486
BELL 206B3,29,15.0,9.0,51.724137931034484,31.03448275862069
BELL 206L,31,17.0,11.0,54.83870967741935,35.483870967741936
BELL 206L-1,109,62.0,65.0,56.88073394495413,59.63302752293578
BELL 206L-3,87,48.0,49.0,55.172413793103445,56.32183908045977
BELL 212,39,56.0,28.0,143.5897435897436,71.7948717948718
BELL 407,117,97.0,51.0,82.90598290598291,43.58974358974359
BELL 412,30,37.0,25.0,123.33333333333334,83.33333333333334
BELL 47D1,39,9.0,11.0,23.076923076923077,28.205128205128204
BELL 47G,89,20.0,15.0,22.47191011235955,16.853932584269664
BELL 47G-2,61,7.0,6.0,11.475409836065573,9.836065573770492
BELL 47G-3B-1,58,6.0,12.0,10.344827586206897,20.689655172413794
BELL 47G-5,27,5.0,6.0,18.51851851851852,22.22222222222222
BELL OH-58A,33,6.0,8.0,18.181818181818183,24.242424242424242
BELL UH-1B,49,30.0,12.0,61.224489795918366,24.489795918367346
BELL UH-1H,41,66.0,19.0,160.97560975609758,46.34146341463415
BELLANCA 17-30,35,14.0,13.0,40.0,37.142857142857146
BELLANCA 17-30A,115,55.0,29.0,47.82608695652174,25.217391304347824
BELLANCA 7ECA,97,17.0,18.0,17.525773195876287,18.556701030927837
BELLANCA 7GCAA,27,9.0,3.0,33.33333333333333,11.11111111111111
BELLANCA 7GCBC,153,40.0,22.0,26.143790849673206,14.37908496732026
BELLANCA 7KCAB,55,11.0,8.0,20.0,14.545454545454545
BELLANCA 8GCBC,99,22.0,8.0,22.22222222222222,8.080808080808081
BELLANCA 8KCAB,94,40.0,19.0,42.5531914893617,20.212765957446805
BOEING 737,125,1348.0,325.0,1078.4,260.0
BOEING 737-200,32,906.0,78.0,2831.25,243.75
BOEING 737-300,30,167.0,24.0,556.6666666666666,80.0
BOEING 747,34,6.0,25.0,17.647058823529413,73.52941176470588
BOEING 777,27,0.0,0.0,0.0,0.0
BOEING A75N1,84,5.0,21.0,5.952380952380952,25.0
